X,Y,LATITUDE,LONGITUDE,fid,LIGHTSTYLE,ShortNumbe,OPERATOR,STATUS,DISTRICT,LOCATION,ROAD,EAST,NORTH,LUMINOUS,MODEL,SCALE_X,SCALE_Y,SCALE_Z,HubDist,BEARING
391059.8726,5819605.536,52.5156633,13.3945548,s_oeffbeleucht.119813,41227-2110001-00,1,Electricity,In operation,Mitte (REG A),Mitte,Hedwigskirchgasse,391059.8727,5819605.536,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,38.08298927,341.8436
391061.2348,5819585.648,52.51548484,13.39458138,s_oeffbeleucht.119815,41227-2110003-00,3,Electricity,In operation,Mitte (REG A),Mitte,Hedwigskirchgasse,391061.2348,5819585.648,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,42.94035915,174.6856
391063.9224,5819556.099,52.51521983,13.39463065,s_oeffbeleucht.119816,41227-2110004-00,4,Electricity,In operation,Mitte (REG A),Mitte,Hedwigskirchgasse,391063.9225,5819556.099,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,13.26988957,174.4234
390756.5871,5818760.472,52.50800832,13.39036478,s_oeffbeleucht.93577,16228-2110072-00,72,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390756.5871,5818760.472,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.300560846,357.3911
390745.6867,5818759.565,52.50799799,13.39020453,s_oeffbeleucht.93578,16228-2110073-00,73,Electricity,Renovation (out of service),Mitte (REG A),Mitte,FriedrichstraÃŸe,390745.6867,5818759.565,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.593166366,357.391
390754.7402,5818785.595,52.50823372,13.39032932,s_oeffbeleucht.93579,16228-2110074-00,74,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390754.7402,5818785.595,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.235941562,357.391
390743.7972,5818784.501,52.5082217,13.39016851,s_oeffbeleucht.93580,16228-2110075-00,75,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390743.7972,5818784.501,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.761532699,357.391
390752.7957,5818811.53,52.5084664,13.39029217,s_oeffbeleucht.93581,16228-2110076-00,76,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390752.7957,5818811.53,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.109257025,357.391
390741.7709,5818810.18,52.50845206,13.39013024,s_oeffbeleucht.93582,16228-2110077-00,77,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390741.7709,5818810.18,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.994562692,357.391
390750.7453,5818837.471,52.50869911,13.39025345,s_oeffbeleucht.93583,16228-2110078-00,78,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390750.7453,5818837.471,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.01434599,357.391
390739.8496,5818836.18,52.50868533,13.3900934,s_oeffbeleucht.93584,16228-2110079-00,79,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390739.8496,5818836.18,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.962951343,357.391
390749.1194,5818859.441,52.50889622,13.39022229,s_oeffbeleucht.93585,16228-2110080-00,80,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390749.1194,5818859.441,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.150540345,357.391
390738.1582,5818858.438,52.50888501,13.39006118,s_oeffbeleucht.93586,16228-2110081-00,81,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390738.1582,5818858.438,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.856768978,357.391
390747.2298,5818883.372,52.5091109,13.3901866,s_oeffbeleucht.93587,16228-2110082-00,82,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390747.2298,5818883.372,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.189338376,357.391
390736.2069,5818882.753,52.50910313,13.39002445,s_oeffbeleucht.93588,16228-2110083-00,83,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390736.2069,5818882.753,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.866958939,357.391
390745.3051,5818908.874,52.5093397,13.39014987,s_oeffbeleucht.93589,16228-2110084-00,84,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390745.3051,5818908.874,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.307101994,357.391
390734.337,5818907.983,52.50932949,13.38998862,s_oeffbeleucht.93590,16228-2110085-00,85,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390734.337,5818907.983,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.713420953,357.391
390737.6775,5819033.813,52.51046095,13.38999649,s_oeffbeleucht.93591,16228-2110094-00,94,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390737.6775,5819033.813,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,3.931678718,357.307
390721.7376,5819033.072,52.51045109,13.38976196,s_oeffbeleucht.93592,16228-2110095-00,95,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390721.7376,5819033.072,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,4.433903491,357.307
390665.5607,5819988.862,52.51902914,13.38862029,s_oeffbeleucht.93691,16228-2110314-00,314,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390665.5607,5819988.862,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,1.44526573,357.363
390644.2765,5819988.553,52.5190221,13.38830683,s_oeffbeleucht.93692,16228-2110315-00,315,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390644.2765,5819988.553,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,3.150540173,357.2047
390663.7805,5820011.92,52.519236,13.38858648,s_oeffbeleucht.93693,16228-2110316-00,316,Electricity,Renovation (out of service),Mitte (REG A),Mitte,FriedrichstraÃŸe,390663.7806,5820011.92,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,1.66017912,357.3633
390642.7607,5820010.425,52.51921835,13.38827731,s_oeffbeleucht.93694,16228-2110317-00,317,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390642.7608,5820010.425,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,3.037380308,357.2913
390662.3476,5820034.941,52.51944259,13.3885578,s_oeffbeleucht.93695,16228-2110318-00,318,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390662.319,5820035.011,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,2.295663818,357.654
390641.3219,5820034.292,52.51943254,13.38824826,s_oeffbeleucht.93696,16228-2110319-00,319,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390641.322,5820034.292,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,2.668323933,357.205
390660.7416,5820059.388,52.51966197,13.3885261,s_oeffbeleucht.93697,16228-2110320-00,320,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390660.6599,5820059.333,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,2.831413418,357.6542
390639.7208,5820058.244,52.51964747,13.3882168,s_oeffbeleucht.93698,16228-2110321-00,321,Electricity,Renovation (out of service),Mitte (REG A),Mitte,FriedrichstraÃŸe,390639.7208,5820058.244,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,2.474243072,357.205
390655.656,5820082.229,52.51986621,13.38844366,s_oeffbeleucht.93699,16228-2110322-00,322,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390654.1392,5820082.006,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,2.680566777,169.1389
390651.1398,5820132.768,52.52031948,13.38836051,s_oeffbeleucht.93703,16228-2110326-00,326,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390651.1398,5820132.768,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,2.672035489,354.878
391935.6131,5818925.039,52.5097222,13.40767621,s_oeffbeleucht.94979,16252-2110001-00,1,Electricity,In operation,Mitte (REG A),Mitte,SebastianstraÃŸe,391935.6131,5818925.039,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,4.247149954,240.7241
391947.3663,5818905.174,52.50954601,13.40785578,s_oeffbeleucht.94980,16252-2110002-00,2,Electricity,In operation,Mitte (REG A),Mitte,SebastianstraÃŸe,391947.3663,5818905.174,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,1.585125606,146.3921
