X,Y,LATITUDE,LONGITUDE,fid,barriere,druecker,elem_nr,gis_id,hmas,mas,MODEL,SCALE_X,SCALE_Y,SCALE_Z,HubDist,BEARING
392539.574095700,5820871.294899440,52.52733206,13.41594277,s_Mast_LSA.3715,2,1,47550005_47560034.01,Pk_2015-04-30_2064,811.0,1,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,5.920629154705417,207.4978
392553.615995705,5820838.875999440,52.52704349,13.41616016,s_Mast_LSA.11519,,2,47550005_47550037.01,PK_04082014_06297,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,8.280390003265861,127.4904
392544.605995702,5820825.554999434,52.52692200,13.41603171,s_Mast_LSA.11512,,2,47550005_47550037.01,PK_04082014_06300,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.777213486469891,-52.8345
392485.850995685,5820829.378999439,52.52694477,13.41516474,s_Mast_LSA.11499,,2,47550006_47550005.01,PK_04082014_00737,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,9.916017454439078,-42.5189
390751.825995172,5821407.105999416,52.53179163,13.38942490,s_Mast_LSA.11704,,2,45560039_45560011.01,PK_02102014_05003,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,8.844199569979580,83.5226
390754.213995172,5821412.434999419,52.53184000,13.38945834,s_Mast_LSA.11705,,1,45560039_45560011.01,PK_02102014_05002,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.705227487125151,-37.9339
390786.336995183,5821392.484999417,52.53166716,13.38993826,s_Mast_LSA.11698,,2,45560011_45560012.01,PK_02102014_05066,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,6.068296711147709,143.3315
392751.586195757,5821250.285499441,52.53077971,13.41894438,s_Mast_LSA.3656,1,2,47560030_47560009.02,Pk_2015-04-30_2005,981.0,3,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,6.647413966998930,27.211
392735.939095753,5821227.850799440,52.53057502,13.41872105,s_Mast_LSA.10116,1,2,47560034_47560030.01,Pk_2015-05-02_8514,576.0,3,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,3.639071017711725,-67.0633
392764.335895761,5821216.800699441,52.53048131,13.41914307,s_Mast_LSA.9983,1,2,47560034_47560030.01,Pk_2015-04-28_8376,704.0,2,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,4.709209609452460,207.655
393319.894495911,5821320.615099448,52.53152334,13.42729636,s_Mast_LSA.6036,1,2,48560028_48560029.01,Pk_2015-04-26_4408,728.0,2,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,5.427373561451141,38.466
393344.440695918,5821293.144499448,52.53128127,13.42766689,s_Mast_LSA.5728,1,2,48560028_48560029.01,Pk_2015-05-02_4099,733.0,2,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,5.014448719068582,215.6483
390958.427995238,5820993.738999420,52.52811826,13.39260506,s_Mast_LSA.11238,,1,45550040_45560019.02,PK_31072014_07463,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.129559061079250,161.3997
390957.196995237,5821019.310999421,52.52834782,13.39257853,s_Mast_LSA.11239,,1,45560019_46560013.01,PK_31072014_03512,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,8.799622437344283,72.3466
390936.773995231,5820994.119999420,52.52811735,13.39228587,s_Mast_LSA.11243,,1,45550015_45560019.02,PK_31072014_03808,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,9.207629837668057,253.8006
391284.540995336,5821118.927999425,52.52930846,13.39736933,s_Mast_LSA.11556,,2,46560007_46560004.01,PK_04082014_01664,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.607684101895386,249.8088
391305.528995342,5821141.857999423,52.52951871,13.39767109,s_Mast_LSA.11554,,2,46560004_46560010.01,PK_04082014_01546,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,9.332907502452663,85.2938
391305.509995342,5821120.370999421,52.52932561,13.39767784,s_Mast_LSA.11561,,2,46560004_46560005.01,PK_04082014_00029,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,6.835530692296717,178.0199
391289.445995338,5821141.619999424,52.52951337,13.39743418,s_Mast_LSA.11559,,2,46560007_46560004.01,PK_04082014_01663,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,5.361039954156904,-17.7644
391537.824995411,5821139.306999427,52.52954209,13.40109488,s_Mast_LSA.11553,,2,46560004_46560010.01,PK_04082014_01547,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,5.634108251583550,265.0479
391579.990995423,5821162.757999424,52.52976122,13.40170856,s_Mast_LSA.11546,,2,46560010_46560025.01,PK_04082014_01294,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,6.147387527990018,263.5725
391536.833995410,5821168.964999424,52.52980841,13.40107060,s_Mast_LSA.11690,,2,46560009_46560010.01,PK_02102014_02990,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,10.131067620086100,-20.3033
392101.141995575,5821021.721999432,52.52859725,13.40943377,s_Mast_LSA.11588,,2,47550018_47560001.02,PK_04082014_02449,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.731353857700801,210.6426
392071.369995567,5821048.879999436,52.52883541,13.40898625,s_Mast_LSA.11593,,2,47560002_47560001.02,PK_04082014_01886,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,4.875899894317503,107.5429
392153.977995591,5821029.073999433,52.52867378,13.41020993,s_Mast_LSA.11508,,2,47560041_47550007.01,PK_04082014_02095,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,5.010257365588781,-72.5903
392158.570995592,5821002.214999433,52.52843331,13.41028632,s_Mast_LSA.11501,,2,47550045_47560041.02,PK_04082014_09657,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,4.394351868174369,165.2024
392133.235995584,5821015.252999434,52.52854547,13.40990878,s_Mast_LSA.11505,,1,47560001_47560041.01,PK_04082014_01912,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,5.410278177798798,-18.7956
392105.901995577,5821024.237999435,52.52862080,13.40950309,s_Mast_LSA.11587,,1,47560001_47560041.01,PK_04082014_01910,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.257057688916782,-68.23
392614.979895720,5821023.380599439,52.52871367,13.41700471,s_Mast_LSA.3653,1,2,47560034_47560030.01,Pk_2015-04-30_2002,1007.0,1,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,6.878535469214956,31.2004
392643.527095728,5821007.896699441,52.52858015,13.41743036,s_Mast_LSA.4313,1,2,47560034_47560030.01,Pk_2015-04-28_2678,314.0,1,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,8.675848097826647,209.7971
392623.161595723,5820980.250399440,52.52832769,13.41713920,s_Mast_LSA.9984,1,2,47550005_47560034.01,Pk_2015-05-02_8377,990.0,3,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,4.558158565717437,206.2406
390591.552995126,5820881.667999415,52.52703758,13.38723614,s_Mast_LSA.11249,,2,45550001_45550011.01,PK_31072014_02828,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,3.100851329993211,187.9657
390601.619995129,5820889.266999413,52.52710789,13.38738197,s_Mast_LSA.11247,,2,45550001_45550016.01,PK_31072014_03729,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,8.968400290260135,257.5262
