X,Y,LATITUDE,LONGITUDE,PARALLEL,DESCRIPTIO,CATEGORY,COLOR,HubDist,BEARING,SECTOR,MODEL_PATH,MODEL_NAME,SCALE_X,SCALE_Y,SCALE_Z,TRAILER
390261.375,5821220.5,52.53001611,13.38225927,NO,Black Subcompact Car,Subcompact,Black,28.93493311,156.965,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_black.prefab,0.9,0.9,0.9,No
390263.5,5821222,52.53003002,13.38229008,NO,Silver Sporty Hatchback,Compact,Silver,28.39667061,156.7549,Civilian,Assets/Azerilo/Car Model No.1201 Asset/Prefab/,Sporty_Hatchback_silver.prefab,1,1,1,No
390265.813043118,5821223.01748545,52.530033,13.38250835,NO,Dark Blue Mid-size Car,Mid-size,Dark Blue,34.25128351,156.932,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_dark_blue.prefab,1.15,1,1,No
390245.9688,5821079,52.52874141,13.38207899,NO,Silver Subcompact Car,Subcompact,Silver,15.94098423,-26.5843,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_silver.prefab,0.9,0.9,0.9,No
390249.358941555,5821069.76724131,52.52865675,13.38213462,NO,Silver Subcompact Car,Subcompact,Silver,5.855560833,-24.57281,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_silver.prefab,0.9,0.9,0.9,No
390206.68901968,5820854.91714366,52.52672054,13.38157696,NO,Dark Blue Subcompact Car,Subcompact,Dark Blue,4.194324242,58.05386,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_dark_blue.prefab,0.9,0.9,0.9,No
390208.6563,5820850,52.52667597,13.38160486,NO,Red Sporty Hatchback,Compact,Red,4.031115355,67.1095,Civilian,Assets/Azerilo/Car Model No.1201 Asset/Prefab/,Sporty_Hatchback_red.prefab,1,1,1,No
390209.758965969,5820847.1073292,52.52664461,13.38161338,NO,90s Mid-size Sedan 2,Mid-size,Black,4.072073448,59.41613,Civilian,Assets/sedan/pref/,sedanpref.prefab,49,49,49,No
390210.699029446,5820841.50723155,52.52659543,13.38163316,NO,White Subcompact Car,Subcompact,White,6.506837481,51.94065,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_white.prefab,0.9,0.9,0.9,No
390209.7789855,5820837.8873585,52.52656389,13.38162741,NO,Silver Subcompact Car,Subcompact,Silver,6.846453729,42.51849,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_silver.prefab,0.9,0.9,0.9,No
390318.875,5819541,52.51493473,13.38366075,NO,80's Mid-size Sedan 1,Mid-size,White,40.12478865,175.7576,Civilian,Assets/Urban American Assets/Props/Vehicles/,Car2.prefab,0.85,0.85,0.85,No
390326.625,5819541.5,52.51494079,13.38377474,NO,Silver Mid-size Car,Mid-size,Silver,40.21118477,175.5499,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_silver.prefab,1.15,1,1,No
390334.4688,5819542,52.51494686,13.38389012,NO,Orange 80's Hatchback,Compact,Orange,40.30452543,175.6436,Civilian,Assets/Hatchback and Sedan/prefabs/,HATCHBACK_1988_orange.prefab,0.61,0.61,0.61,No
390342.0938,5819543,52.51495738,13.38400211,NO,Silver Mid-size Car,Mid-size,Silver,39.88294032,175.5589,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_silver.prefab,1.15,1,1,No
390344.7813,5819543.5,52.51496241,13.38404153,NO,White 80's Hatchback,Compact,White,39.58716133,355.5951,Civilian,Assets/Hatchback and Sedan/prefabs/,HATCHBACK_1988_white.prefab,0.61,0.61,0.61,No
390352.5313,5819544,52.51496846,13.38415553,NO,White Full-size Sedan,Full-size Car,White,39.67361955,355.8252,Civilian,Assets/Vehicle - pro 3d models/Civilian_vehicle_05/Prefab/,CivilianVehicle05 White.prefab,1.15,1,1,No
390354.8438,5819544.5,52.51497342,13.38418943,NO,80's Mid-size Sedan 1,Mid-size,White,39.34957352,355.5206,Civilian,Assets/Urban American Assets/Props/Vehicles/,Car2.prefab,0.85,0.85,0.85,No
390362.3438,5819545,52.51497942,13.38429974,NO,Black 80's Hatchback,Compact,Black,39.41691923,175.6715,Civilian,Assets/Hatchback and Sedan/prefabs/,HATCHBACK_1988_black.prefab,0.61,0.61,0.61,No
390300.338922024,5819538.82729991,52.51491752,13.38338827,NO,Black Mid-size Car,Mid-size,Black,40.2218781,163.4742,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_black.prefab,1.15,1,1,No
