Type,Index,Time(ms)
Load time,0,599
Step time,0,10
Step time,1,6
Step time,2,7
Step time,3,6
Step time,4,5
Step time,5,10
Step time,6,11
Step time,7,10
Step time,8,10
Step time,9,9
Step time,10,11
Step time,11,9
Step time,12,10
Step time,13,11
Step time,14,10
Step time,15,8
Step time,16,11
Step time,17,10
Step time,18,10
Step time,19,11
Step time,20,9
Step time,21,10
Step time,22,10
Step time,23,9
Step time,24,11
Step time,25,10
Step time,26,10
Step time,27,11
Step time,28,9
Step time,29,10
Step time,30,10
Step time,31,9
Step time,32,11
Step time,33,10
Step time,34,10
Step time,35,10
Step time,36,10
Step time,37,10
Step time,38,10
Step time,39,11
Step time,40,9
Step time,41,10
Step time,42,10
Step time,43,10
Step time,44,10
Step time,45,10
Step time,46,10
Step time,47,10
Step time,48,10
Step time,49,10
Load time,1,464
Step time,0,6
Step time,1,5
Step time,2,8
Step time,3,10
Step time,4,10
Step time,5,10
Step time,6,10
Step time,7,9
Step time,8,11
Step time,9,10
Step time,10,10
Step time,11,9
Step time,12,11
Step time,13,10
Step time,14,10
Step time,15,11
Step time,16,8
Step time,17,10
Step time,18,11
Step time,19,9
Step time,20,11
Step time,21,10
Step time,22,10
Step time,23,9
Step time,24,11
Step time,25,10
Step time,26,10
Step time,27,10
Step time,28,10
Step time,29,10
Step time,30,10
Step time,31,10
Step time,32,10
Step time,33,10
Step time,34,10
Step time,35,10
Step time,36,10
Step time,37,10
Step time,38,10
Step time,39,9
Step time,40,11
Step time,41,10
Step time,42,10
Step time,43,9
Step time,44,10
Step time,45,10
Step time,46,11
Step time,47,10
Step time,48,9
Step time,49,10
Load time,2,349
Step time,0,5
Step time,1,6
Step time,2,7
Step time,3,10
Step time,4,10
Step time,5,11
Step time,6,9
Step time,7,10
Step time,8,11
Step time,9,9
Step time,10,11
Step time,11,9
Step time,12,10
Step time,13,10
Step time,14,10
Step time,15,10
Step time,16,10
Step time,17,10
Step time,18,10
Step time,19,10
Step time,20,11
Step time,21,9
Step time,22,10
Step time,23,10
Step time,24,10
Step time,25,10
Step time,26,10
Step time,27,10
Step time,28,11
Step time,29,9
Step time,30,10
Step time,31,10
Step time,32,11
Step time,33,10
Step time,34,9
Step time,35,10
Step time,36,10
Step time,37,11
Step time,38,10
Step time,39,9
Step time,40,11
Step time,41,9
Step time,42,11
Step time,43,9
Step time,44,10
Step time,45,10
Step time,46,10
Step time,47,10
Step time,48,10
Step time,49,10
Load time,3,1244
Step time,0,7
Step time,1,6
Step time,2,6
Step time,3,6
Step time,4,7
Step time,5,10
Step time,6,10
Step time,7,10
Step time,8,10
Step time,9,10
Step time,10,10
Step time,11,10
Step time,12,10
Step time,13,10
Step time,14,11
Step time,15,10
Step time,16,9
Step time,17,10
Step time,18,10
Step time,19,18
Step time,20,12
Step time,21,11
Step time,22,10
