Type,Index,Time(ms)
Load time,0,935
Step time,0,17
Step time,1,11
Step time,2,12
Step time,3,12
Step time,4,12
Step time,5,12
Step time,6,10
Step time,7,10
Step time,8,10
Step time,9,9
Load time,1,674
Step time,0,13
Step time,1,10
Step time,2,10
Step time,3,11
Step time,4,11
Step time,5,10
Step time,6,10
Step time,7,10
Step time,8,16
Step time,9,10
Load time,2,560
Step time,0,12
Step time,1,10
Step time,2,11
Step time,3,12
Step time,4,11
Step time,5,11
Step time,6,9
Step time,7,16
Step time,8,10
Step time,9,14
Load time,3,1942
Step time,0,21
Step time,1,10
Step time,2,11
Step time,3,10
Step time,4,10
Step time,5,10
Step time,6,10
Step time,7,14
Step time,8,10
Step time,9,11
Load time,4,740
Step time,0,10
Step time,1,11
Step time,2,11
Step time,3,10
Step time,4,9
Step time,5,10
Step time,6,10
Step time,7,10
Step time,8,10
Step time,9,16
Load time,5,468
Step time,0,12
Step time,1,10
Step time,2,12
Step time,3,11
Step time,4,11
Step time,5,11
Step time,6,10
Step time,7,12
Step time,8,9
Step time,9,10
Load time,6,747
Step time,0,11
Step time,1,13
Step time,2,10
Step time,3,11
Step time,4,10
Step time,5,11
Step time,6,11
Step time,7,12
Step time,8,12
Step time,9,10
Load time,7,832
Step time,0,17
Step time,1,10
Step time,2,10
Step time,3,10
Step time,4,10
Step time,5,10
Step time,6,10
Step time,7,17
Step time,8,10
Step time,9,11
Load time,8,612
Step time,0,9
Step time,1,11
Step time,2,9
Step time,3,10
Step time,4,10
Step time,5,10
Step time,6,13
Step time,7,11
Step time,8,10
Step time,9,10
Load time,9,863
Step time,0,13
Step time,1,12
Step time,2,10
Step time,3,10
Step time,4,16
Step time,5,11
Step time,6,17
Step time,7,11
Step time,8,11
Step time,9,10
