LABEL,landuse,access,leisure,name,wheelchair,historic,religion,Surf_Type,area_highw,kerb,landcover,postal_cod,leaf_cycle,leaf_type,natural,changeset,addr_city,addr_postc,addr_count,addr_subur,amenity,opening_ho,lit,fee,parking,park_ride,supervised,surface,capacity,capacity_d,capacity_p,capacity_w,parking_co,parking_c1,parking_c2,parking_c3,note,highway,area,bicycle,ID,PERIMETER,ENCLOSED_A,GEOMETRY
Wiederstandsgruppe Herbert Baum,,,,Wiederstandsgruppe Herbert Baum,yes,memorial,,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"POLYGON(( 392435.617556464 5820827.191832859, 392435.602251279 5820830.819749429, 392440.934735527 5820831.659885910, 392443.417163590 5820827.265752479, 392441.369723381 5820825.819519481, 392438.998570495 5820824.157827896, 392435.617556464 5820827.191832859 ))"
,village_green,,,,,,,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"POLYGON(( 392370.368528009 5820824.671132483, 392375.188170358 5820833.954705586, 392376.253103422 5820835.978142654, 392377.738591542 5820838.800659630, 392377.708432870 5820838.816684066, 392377.795725613 5820838.985349936, 392384.233846611 5820835.784216327, 392384.687164776 5820831.089585189, 392370.368528009 5820824.671132483 ))"
,,private,playground,,,,,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"POLYGON(( 392468.688142163 5820533.267488210, 392473.742934919 5820540.300629508, 392480.253174375 5820535.417661994, 392475.038992506 5820528.543798467, 392468.688142163 5820533.267488210 ))"
Spielplatz des Beamten-Wohnungs-Verein,,,playground,Spielplatz des Beamten-Wohnungs-Verein,limited,,,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,"POLYGON(( 392432.477240928 5820938.168923854, 392439.408669040 5820952.482871634, 392447.366510408 5820948.647551857, 392440.435101098 5820934.333603906, 392432.477240928 5820938.168923854 ))"
,,,garden,,,,,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,"POLYGON(( 392281.629672408 5820952.769222107, 392282.561290766 5820954.796854386, 392282.591989801 5820954.825196632, 392282.842325661 5820954.692596217, 392281.629672408 5820952.769222107 ))"
,village_green,,,,,,,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,"POLYGON(( 392292.181776795 5820493.191829900, 392298.752403040 5820501.549326547, 392333.382405787 5820474.462837242, 392327.252548622 5820466.655858506, 392313.498498694 5820477.554025349, 392299.147717905 5820487.741020211, 392292.181776795 5820493.191829900 ))"
,,,playground,,,,,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,"POLYGON(( 392628.424530772 5820640.687201454, 392636.885786123 5820652.041085372, 392647.875642177 5820644.200026296, 392643.340045845 5820638.019665287, 392639.530261388 5820632.822749401, 392628.424530772 5820640.687201454 ))"
,,,playground,,,,,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,"POLYGON(( 392660.851364047 5820625.294514840, 392660.851364047 5820625.294514840, 392661.000747003 5820625.409747381, 392660.851364047 5820625.294514840 ))"
,,,playground,,,,,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,"POLYGON(( 392641.978249100 5820631.089222570, 392644.907206319 5820635.084604626, 392652.554977507 5820629.939987311, 392652.496610044 5820629.787106064, 392652.432182646 5820628.185885695, 392652.878482824 5820626.650458711, 392653.797494771 5820625.332543029, 392654.888337508 5820624.521904368, 392655.782808793 5820625.725550863, 392655.330495222 5820624.295776936, 392656.615255212 5820623.889343090, 392658.221844624 5820623.902007572, 392659.731759118 5820624.430862632, 392660.851364047 5820625.294514840, 392661.004763629 5820625.186617994, 392657.472449997 5820620.117103374, 392641.978249100 5820631.089222570 ))"
,,,playground,,,,,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,"POLYGON(( 392646.682561592 5820637.505010229, 392645.758465784 5820636.245805190, 392650.317356635 5820642.457908182, 392665.597137592 5820631.556067004, 392662.743733929 5820627.630302803, 392662.220526911 5820627.998311378, 392661.896488633 5820626.746108274, 392662.312330573 5820628.353074510, 392662.182904578 5820630.020732627, 392661.500301583 5820631.547449099, 392660.349481448 5820632.763152096, 392658.859414269 5820633.517607877, 392657.206626109 5820633.745698460, 392655.576854199 5820633.412857696, 392654.143919213 5820632.564702955, 392654.101485475 5820632.514337279, 392646.682561592 5820637.505010229 ))"
,,yes,playground,,,,,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,"POLYGON(( 392276.980877753 5820944.694097599, 392277.226328770 5820945.197974249, 392277.303656975 5820945.159628788, 392276.980877753 5820944.694097599 ))"
,,,playground,,,,,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,"POLYGON(( 392659.905998689 5820618.393794276, 392663.433604828 5820623.478233897, 392668.038719915 5820629.814035967, 392675.550546931 5820624.454486291, 392667.681923041 5820612.887323222, 392659.905998689 5820618.393794276 ))"
