X,Y,LATITUDE,LONGITUDE,name,altitude,BEARING,href,CityObjType,ELEVATION,LocalityName,ThoroughfareName,ThoroughfareNumber,function,measuredHeight,roofType
390702.6847,5818989.644,52.510057,13.3894956,BLDG_0003000f001c0781,31.75,358.7222847,2/BLDG_0003000f001c0781.dae,Building,31.75,Berlin,Krausenstr.,72,1004,27.97295,1000
390606.4634,5818828.426,52.5085889,13.3881314,BLDG_0003000f00302182,32.4700012,358.7211214,6/BLDG_0003000f00302182.dae,Building,32.47,Berlin,Mauerstr.,77,1411,30.53,1130
390618.1524,5818810.049,52.5084261,13.3883096,BLDG_000300000016d735,33.0299988,358.7325123,13/BLDG_000300000016d735.dae,Building,33.03,Berlin,Mauerstr.,81,1005,3.06302,1000
390811.4378,5819085.598,52.5109411,13.3910659,BLDG_0003000900000767,34.0299988,358.724306,2433/BLDG_0003000900000767.dae,Building,34.03,Berlin,Charlottenstr.,62,1301,30.00079,1130
390645.3931,5819196.372,52.5119033,13.3885838,BLDG_0003000400018169,34.0600014,358.7208863,2437/BLDG_0003000400018169.dae,Building,34.06,Berlin,Kronenstr.,18,2131,15.42835,1000
390688.8822,5818971.713,52.5098931,13.3892982,BLDG_000300000016df82,31.9400005,358.7300929,24/BLDG_000300000016df82.dae,Building,31.94,Berlin,Krausenstr.,72,1004,23.06,1000
390707.2524,5818994.75,52.5101038,13.3895612,BLDG_00030009005bb9b5,31.8899994,358.7220469,37/BLDG_00030009005bb9b5.dae,Building,31.89,Berlin,Leipziger Str.,26,1004,28.71,1130
390271.442,5818911.586,52.5092689,13.3831697,BLDG_000300070000be4a,31.6800003,358.7293016,89/BLDG_000300070000be4a.dae,Building,31.68,Berlin,Zimmerstr.,91,1119,8.39618,1000
390566.3374,5818880.754,52.5090511,13.3875232,BLDG_0003000e005e19b1,35.25,358.7180861,99/BLDG_0003000e005e19b1.dae,Building,35.25,Berlin,Wilhelmstr.,97,1499,8.25783,1000
390250.0551,5818911.297,52.509262,13.3828548,BLDG_000300070000be48,31.1299992,358.7230507,110/BLDG_000300070000be48.dae,Building,31.13,Berlin,Mauerstr.,1,1119,23.36155,1130
390296.9444,5818859.46,52.5088056,13.3835625,BLDG_000300000016b503,31.2900009,358.725025,114/BLDG_000300000016b503.dae,Building,31.29,Berlin,Wilhelmstr.,97,1119,23.10846,1130
390979.7827,5818822.175,52.5086075,13.3936318,BLDG_0003000e002ce96b,34.1599998,358.722649,122/BLDG_0003000e002ce96b.dae,Building,34.16,Berlin,Wilhelmstr.,97,1231,27.41107,1130
390982.4543,5818861.073,52.5089576,13.3936584,BLDG_00030009000007ea,34.1399994,358.7272976,133/BLDG_00030009000007ea.dae,Building,34.14,Berlin,Markgrafenstr.,55,1119,25.77,1130
390298.5392,5818941.603,52.5095441,13.3835589,BLDG_0003000f0004058e,31.9699993,358.7195129,118/BLDG_0003000f0004058e.dae,Building,31.97,Berlin,Wilhelmstr.,97,1119,26.93,1130
390767.4245,5818898.4,52.50925,13.3904791,BLDG_000300090000073a,34.25,358.7250808,48/BLDG_000300090000073a.dae,Building,34.32,Berlin,Mauerstr.,93,1499,30.25717,1000
390920.694,5818851.22,52.5088567,13.392752,BLDG_000300000017c320,34.3800011,358.7229189,145/BLDG_000300000017c320.dae,Building,34.38,Berlin,Krausenstr.,19,2523,3.23024,1000
390993.627,5818892.371,52.5092411,13.3938127,BLDG_0003000e00964083,34.0999985,358.7264332,140/BLDG_0003000e00964083.dae,Building,34.1,Berlin,Krausenstr.,17,1119,27.70826,1130
390853.426,5818786.464,52.5082613,13.3917825,BLDG_0003000e00795865,34.2700005,358.7210645,149/BLDG_0003000e00795865.dae,Building,34.31,Berlin,SchÃ¼tzenstr.,67,2121,25.563,1000
390847.0655,5818813.346,52.5085016,13.39168,BLDG_0003000900000a3c,34.3600006,358.7291119,165/BLDG_0003000900000a3c.dae,Building,34.36,Berlin,SchÃ¼tzenstr.,5,1004,29.10947,1130
