LABEL,bridge,bridge_nam,cycleway_r,highway,lanes,lit,maxspeed,name,oneway,postal_cod,sidewalk,start_date,surface,parking_co,parking_la,note,descriptio,lanes_back,lanes_forw,ref,turn_lanes,cycleway_b,foot,name_pl,name_ru,name_uk,name_zh,electrifie,gauge,level,operator,railway,voltage,cycleway_1,cycleway_l,oneway_bic,smoothness,bicycle,source,cycleway,incline,name_be,name_es,name_he,name_ja,name_la,service,parking_c1,parking_c2,parking_l1,access_lan,destinatio,destinati1,destinati2,name_de,psv_lanes,turn_lane1,lanes_psv_,busway_rig,priority_r,source_max,parking_l2,maxspeed_c,motor_vehi,motorcycle,parking_l3,access_la1,bicycle_la,old_name,bicycle_ro,motor_veh1,traffic_si,vehicle,access,horse,note_de,cycleway_2,cycleway_3,old_name_9,old_name_2,old_name_n,overtaking,maxspeed_t,noname,cycleway_s,protected_,tunnel,destinati3,maxheight,motorroad,cutting,speisebezi,change_lan,parking_l4,parking_c3,bus_lanes_,bus_lanes1,lanes_bus,turn_lane2,lanes_psv,wheelchair,maxweight,segregated,building_p,height,website,destinati4,destinati5,destinati6,destinati7,destinati8,cycleway_4,parking_c4,parking_c5,parking_c6,parking_c7,parking_l5,width,hgv,regulatory,source_nam,change_la1,change_la2,source_ref,loc_name,name_en,name_hu,name_it,name_nl,name_tr,bridge_str,heritage,historic,image,step_count,created_by,old_name_8,old_name_6,old_name_3,indoor,covered,destinati9,bus_lanes,maxheight_,junction,crossing,motorcar,goods,parking_l6,descripti1,ramp,psv,location,parking_c8,parking_c9,parking_10,parking_11,footway,lanes_both,destinat10,destinat11,destinat12,destinat13,paving_sto,cycleway_5,bench,bin,passenger1,public_tra,shelter,tactile_pa,tram,emergency,cycleway_6,car,sidewalk_b,parking_l7,traffic_ca,destinat14,lanes_park,old_name_0,old_name_1,lanes_bus_,levelpart,cycleway_7,destinat15,parking_12,parking_13,parking_14,colonnade_,parking_l8,paving_st1,destinat16,destinat17,destinat18,destinat19,destinat20,destinat21,sidewalk_r,crossing_i,sac_scale,trail_visi,parking_l9,bus,ramp_wheel,oneway_del,destinat22,destinat23,destinat24,destinat25,destinat26,destinat27,parking_21,lanes_psv1,destinat28,destinat29,destinat30,destinat31,destinat32,old_name_4,sidewalk_1,sidewalk_2,sidewalk_3,sidewalk_4,sidewalk_l,sidewalk_5,embedded_r,sidewalk_s,sidewalk_w,parking_22,etymology_,Surf_Type,detail,frequency,passenger_,railway_ba,railway_b1,usage,railway_tr,railway_lz,railway_pz,railway_t1,tracks,electrifi1,loading_ga,disused,alt_name,subway,railway_zb,area,disused_ra,network,maxspeed_n,maxspeed_b,maxspeed_f,maxspeed_1,waterway,opening_ho,phone,seamark_ty,abandoned_,local_ref,wheelchai1,departures,boat,CEMT,canoe,draft,have_river,minpower,sailboat,lock,lock_name,maxlength,maxwidth,passage_ti,seamark_na,vhf,GEOMETRY
Prenzlauer Berg,,,,unclassified,2,,50,Prenzlauer Berg,no,10405,,,asphalt,,,ErgÃ¤nzungsstraÃŸe mit besonderer Bedeutung,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(392625.983010072 5820994.410896855, 392647.299450022 5820994.410814920, 392698.002294597 5820998.473650116, 392753.253012974 5821002.893613255, 392825.106134840 5821009.921786657, 392890.383460523 5821017.595598220, 392902.454080415 5821018.722484814, 392905.630327647 5821018.730899840, 392918.727143054 5821017.131393914, 392929.158916141 5821013.142151560, 392952.194770797 5821004.259420789, 392987.355267594 5820991.829164230)"
Prenzlauer Berg,,,,unclassified,3,yes,50,Prenzlauer Berg,yes,10405,right,,asphalt,,,ErgÃ¤nzungsstraÃŸe mit besonderer Bedeutung,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(392987.355267594 5820991.829164230, 393000.372883889 5820982.564759282, 393041.355327879 5820965.111569197, 393044.876969620 5820963.532424976, 393060.542609225 5820957.114619324)"
Prenzlauer Berg,,,,unclassified,1,yes,50,Prenzlauer Berg,yes,10405,right,,asphalt,,,ErgÃ¤nzungsstraÃŸe mit besonderer Bedeutung,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(393068.164441547 5820966.462164227, 393051.578708161 5820972.699749398, 393002.770498363 5820988.866167876, 392987.355267594 5820991.829164230)"
InvalidenstraÃŸe,,,lane,tertiary,1,,30,InvalidenstraÃŸe,yes,10115,right,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE:urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(390535.387749654 5821359.970759310, 390551.238398788 5821363.833761217, 390574.548795304 5821368.687346462, 390586.387286721 5821372.484355051, 390592.886626823 5821375.744176994, 390598.418156010 5821378.513760982)"
Werderscher Markt,,,,tertiary,2,yes,30,Werderscher Markt,,10117,both,,asphalt,,,Ãœbergeordnete StraÃŸe; Stufe III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(391288.053858706 5819572.392022055, 391294.906610194 5819574.977332215, 391301.724808922 5819577.229590040, 391307.790701931 5819579.231487800, 391343.338416221 5819590.983640975, 391402.088735135 5819613.126629421, 391406.556942770 5819614.718964325)"
Breite StraÃŸe,,,,tertiary,2,,50,Breite StraÃŸe,,10178,,,asphalt,,,Ãœbergeordnete StraÃŸe; Stufe III,,,,,,,,,,,,,,,,,,,,,,,,lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(391821.329904429 5819403.019299867, 391810.110254257 5819417.566011469)"
Am Friedrichshain,,,,tertiary,2,,50,Am Friedrichshain,yes,10407,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(393155.263468735 5820939.757494616, 393169.802633095 5820948.264340215, 393174.089138192 5820953.122547276)"
Am Friedrichshain,,,,tertiary,4,,50,Am Friedrichshain,yes,10407,right,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left|left|through|through;right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(393152.283127278 5820950.593946960, 393138.599838700 5820947.409669740, 393132.225185575 5820946.691988056, 393126.460586093 5820946.873452842, 393111.008361175 5820950.326470260, 393106.969702083 5820951.850088469, 393102.109796336 5820953.680955407, 393087.556747546 5820959.150748589)"
SchÃ¶nhauser Allee,,,track,tertiary,1,yes,50,SchÃ¶nhauser Allee,yes,10119,right,,asphalt,,,,,,,,,,,,Ð¨Ñ‘Ð½Ñ…Ð°ÑƒÐ·ÐµÑ€-Ð°Ð»Ð»ÐµÐµ,Ð¨ÐµÐ½Ñ…Ð°ÑƒÐ·ÐµÑ€-ÐÐ»ÐµÑ,,,,,,,,,,,,,,,,,,×©×“×¨×•×ª ×©× ×”××•×–×¨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(392139.275888431 5821038.280238188, 392136.410139904 5821048.669762583, 392135.653161386 5821051.891181447, 392130.333779487 5821071.659676507, 392129.366450696 5821082.274442106, 392130.675041234 5821095.465171476)"
Breite StraÃŸe,,,,tertiary,2,yes,50,Breite StraÃŸe,,10178,both,,asphalt,,,Ãœbergeordnete StraÃŸe; Stufe III,,,,,,,,,,,,,,,,,,,,,,,,lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(391686.403395407 5819572.213516089, 391633.756124802 5819638.096008752, 391630.585377186 5819642.060814321, 391620.201399992 5819655.053909147, 391609.847080649 5819668.157647805, 391607.674587988 5819670.909727450, 391598.406144005 5819680.317357954)"
Alte SchÃ¶nhauser StraÃŸe,,,lane,tertiary,2,yes,30,Alte SchÃ¶nhauser StraÃŸe,yes,10119,both,,asphalt,,,,,,,,,,,,,,,,,,,,,,opposite_track,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(392099.462368089 5821034.406032839, 392094.019009116 5821024.833878637, 392092.801963057 5821022.267976183, 392079.495283892 5820994.942619204, 392075.806096520 5820987.368164372)"
