X,Y,LATITUDE,LONGITUDE,fid,barriere,druecker,elem_nr,gis_id,hmas,mas,MODEL,SCALE_X,SCALE_Y,SCALE_Z,HubDist,BEARING
392514.232,5820870.739,52.52732206,13.41556954,s_Mast_LSA.11518,,1,47550006_47550005.01,PK_04082014_00734,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,7.274918967,216.0539
392506.711,5820859.81,52.52722236,13.41546226,s_Mast_LSA.11509,,2,47550006_47550005.01,PK_04082014_00736,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.926728384,41.459
392504.964,5820857.534,52.52720156,13.41543725,s_Mast_LSA.11510,,2,47550006_47550005.01,PK_04082014_00735,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,8.791313146,40.1708
392499.668,5820849.111,52.52712482,13.41536194,s_Mast_LSA.11484,,2,47550006_47550005.01,PK_04082014_00739,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,13.66340163,226.1007
392497.262,5820845.967,52.52709609,13.41532751,s_Mast_LSA.11485,,2,47550006_47550005.01,PK_04082014_00738,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,9.760398727,224.238
392484.283,5820819.347,52.52685431,13.41514488,s_Mast_LSA.11497,,1,47550042_47550005.01,PK_04082014_05290,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,10.13285493,127.4009
392496.13,5820807.668,52.52675169,13.41532322,s_Mast_LSA.11496,,2,47550042_47550005.01,PK_04082014_05291,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,6.347001065,309.6905
392503.331,5820801.463,52.52669735,13.41543133,s_Mast_LSA.11494,,2,47550042_47550005.01,PK_04082014_05293,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,7.942944844,127.0981
392515.218,5820789.921,52.52659597,13.41561021,s_Mast_LSA.11493,,2,47550042_47550005.01,PK_04082014_05294,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,8.502638973,308.4947
392523.515,5820793.479,52.52662958,13.41573131,s_Mast_LSA.11492,,2,47550005_47550037.01,PK_04082014_06302,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,7.960406955,39.4851
392531.712,5820805.824,52.52674214,13.4158481,s_Mast_LSA.11488,,2,47550005_47550037.01,PK_04082014_06305,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,6.653047261,222.0664
392538.917,5820816.971,52.52684373,13.41595066,s_Mast_LSA.11486,,2,47550005_47550037.01,PK_04082014_06307,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,12.45657764,302.7625
392555.831,5820857.133,52.527208,13.41618689,s_Mast_LSA.9956,2,1,47550005_47560034.01,Pk_2015-05-02_8337,318,1,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.49366724,301.6368
392547.0482,5820863.321,52.52726187,13.41605548,s_Mast_LSA.9955,1,2,47550005_47560034.01,Pk_2015-04-28_8336,320,1,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.216217426,118.8598
392538.7628,5820868.306,52.52730503,13.41593178,s_Mast_LSA.3714,1,2,47550005_47560034.01,Pk_2015-04-30_2063,321,1,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,6.685384102,302.5661
390213.576,5821408.168,52.53169297,13.38149291,s_Mast_LSA.11188,,2,45560002_45560003.01,PK_31072014_00890,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.228916713,56.7074
390230.094,5821415.123,52.5317588,13.38173402,s_Mast_LSA.11189,,2,45560002_45560003.01,PK_31072014_00889,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.716368702,232.7354
390224.358,5821408.175,52.5316952,13.38165179,s_Mast_LSA.11190,,2,45560002_45560003.01,PK_31072014_00888,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,3.022130835,48.4068
390771.612,5821391.629,52.53165652,13.38972156,s_Mast_LSA.11697,,2,45560011_45560012.01,PK_02102014_05067,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,6.286584379,49.4329
390789.094,5821396.482,52.53170363,13.38997758,s_Mast_LSA.11701,,2,45560011_46560008.01,PK_02102014_05407,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,6.796554276,350.0683
390780.525,5821409.132,52.5318156,13.38984715,s_Mast_LSA.11700,,2,45560011_46560008.01,PK_02102014_05408,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,7.001279164,171.2177
